loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
120,1191,40165.766,-44.722855,32.128906,0.25186657905578613,2023-12-14 19:25:28.963553,24.121094,15.234375
121,1201,40305.934,-44.722855,32.226562,0.23151350021362305,2023-12-14 19:25:29.502436,24.121094,15.234375
122,1211,40367.258,-39.53941,32.226562,0.23215556144714355,2023-12-14 19:25:30.042479,23.828125,15.234375
123,1221,40383.094,-39.53941,32.226562,0.23111319541931152,2023-12-14 19:25:30.584904,23.632812,15.234375
124,1231,40398.094,-39.53941,32.226562,0.23393988609313965,2023-12-14 19:25:31.126469,23.632812,15.234375
125,1241,40500.02,-39.53941,32.32422,0.23368120193481445,2023-12-14 19:25:31.671666,23.632812,15.234375
126,1251,40508.28,-39.53941,32.32422,0.2737264633178711,2023-12-14 19:25:32.251889,23.632812,15.234375
127,1261,40521.64,-39.53941,32.32422,0.2321786880493164,2023-12-14 19:25:32.799716,23.535156,15.234375
128,1271,40590.06,-39.53941,32.421875,0.24435853958129883,2023-12-14 19:25:33.354189,23.4375,15.234375
129,1281,40654.598,-39.53941,32.421875,0.23493003845214844,2023-12-14 19:25:33.895343,23.242188,15.234375
130,1291,40657.8,-39.53941,32.421875,0.24740266799926758,2023-12-14 19:25:34.451270,23.242188,15.136719
131,1301,40680.785,-39.53941,32.421875,0.23395538330078125,2023-12-14 19:25:34.995866,23.339844,15.136719
132,1311,40772.973,-39.53941,32.421875,0.23681402206420898,2023-12-14 19:25:35.541590,23.4375,15.0390625
133,1321,40781.477,-39.53941,32.421875,0.24060583114624023,2023-12-14 19:25:36.090985,23.4375,15.136719
134,1331,40980.406,-39.53941,32.617188,0.23227310180664062,2023-12-14 19:25:36.631023,23.632812,15.136719
135,1341,40995.508,-39.53941,32.617188,0.23113131523132324,2023-12-14 19:25:37.169005,23.730469,15.136719
136,1351,41006.51,-39.53941,32.617188,0.24973082542419434,2023-12-14 19:25:37.725047,23.730469,15.234375
137,1361,41017.523,-39.53941,32.617188,0.23269271850585938,2023-12-14 19:25:38.266247,23.730469,15.234375
138,1371,41172.598,-39.53941,32.714844,0.23125958442687988,2023-12-14 19:25:38.803294,24.023438,15.4296875
139,1381,41177.395,-39.53941,32.714844,0.23261356353759766,2023-12-14 19:25:39.339469,23.925781,15.4296875
140,1391,41188.027,-39.53941,32.714844,0.23164653778076172,2023-12-14 19:25:39.876291,23.828125,15.332031
141,1401,41367.535,-39.53941,32.8125,0.2469167709350586,2023-12-14 19:25:40.431783,23.730469,15.136719
142,1411,41400.92,-39.53941,32.8125,0.25409412384033203,2023-12-14 19:25:40.988964,23.632812,15.234375
143,1421,41509.22,-39.53941,32.910156,0.2770094871520996,2023-12-14 19:25:41.574476,23.632812,15.0390625
144,1431,41533.016,-39.53941,32.910156,0.24216961860656738,2023-12-14 19:25:42.123856,23.730469,14.941406
145,1441,41734.8,-39.53941,33.10547,0.2331559658050537,2023-12-14 19:25:42.672631,23.730469,15.136719
146,1451,41890.87,-39.53941,33.203125,0.23152565956115723,2023-12-14 19:25:43.230546,23.730469,15.136719
147,1461,42067.08,-39.53941,33.30078,0.2298445701599121,2023-12-14 19:25:43.770613,24.121094,15.136719
148,1471,42097.77,-39.53941,33.30078,0.24290108680725098,2023-12-14 19:25:44.319768,24.121094,15.136719
149,1481,42138.234,-39.53941,33.30078,0.23053216934204102,2023-12-14 19:25:44.861008,24.21875,15.4296875
150,1491,42141.836,-39.53941,33.30078,0.2374105453491211,2023-12-14 19:25:45.406146,24.023438,15.234375
151,1501,42150.355,-39.53941,33.30078,0.2775142192840576,2023-12-14 19:25:45.993632,24.023438,15.234375
152,1511,42180.336,-39.53941,33.30078,0.22928500175476074,2023-12-14 19:25:46.530345,23.925781,15.332031
153,1521,42182.598,-39.53941,33.30078,0.23025202751159668,2023-12-14 19:25:47.071125,24.023438,15.234375
154,1531,42187.54,-39.53941,33.30078,0.2431495189666748,2023-12-14 19:25:47.625147,24.023438,15.332031
155,1541,42308.76,-39.53941,33.398438,0.23176813125610352,2023-12-14 19:25:48.170898,24.316406,15.4296875
156,1551,42684.29,-39.53941,33.59375,0.23009061813354492,2023-12-14 19:25:48.715690,24.511719,15.527344
157,1561,42995.227,-39.53941,33.88672,0.228804349899292,2023-12-14 19:25:49.316696,24.609375,15.527344
158,1571,43006.555,-39.53941,33.88672,0.22860383987426758,2023-12-14 19:25:49.852091,24.804688,15.527344
159,1581,43170.34,-39.53941,34.08203,0.22809386253356934,2023-12-14 19:25:50.387668,24.902344,15.722656
160,1591,43179.277,-39.53941,34.08203,0.229248046875,2023-12-14 19:25:50.920971,25.0,15.625
161,1601,43205.863,-39.53941,34.08203,0.2303617000579834,2023-12-14 19:25:51.503732,25.195312,15.8203125
162,1611,43227.242,-39.53941,34.08203,0.2312471866607666,2023-12-14 19:25:52.042042,25.292969,15.917969
163,1621,43228.605,-39.53941,34.08203,0.23058056831359863,2023-12-14 19:25:52.581750,25.292969,15.917969
164,1631,43248.79,-30.582695,34.08203,0.24573159217834473,2023-12-14 19:25:53.132309,25.195312,15.8203125
165,1641,43320.383,-30.582695,34.08203,0.2311544418334961,2023-12-14 19:25:53.674574,25.097656,15.8203125
166,1651,43445.29,-30.582695,34.179688,0.22963404655456543,2023-12-14 19:25:54.213665,25.195312,15.8203125
167,1661,43531.91,-30.582695,34.277344,0.23167085647583008,2023-12-14 19:25:54.760996,24.902344,15.917969
168,1671,43558.49,-30.582695,34.277344,0.23979783058166504,2023-12-14 19:25:55.310439,25.0,15.917969
