loop,iteration,qd_score,max_fitness,coverage,time,current_time,coverage1,coverage2
249,2481,976019.0,1515.384,42.382812,32.09212565422058,2023-12-12 10:17:12.859087,32.128906,21.191406
250,2491,976428.4,1515.384,42.382812,32.17003679275513,2023-12-12 10:17:45.333944,32.128906,21.09375
251,2501,979161.4,1515.384,42.48047,31.814879179000854,2023-12-12 10:18:17.451234,32.128906,21.09375
252,2511,979304.56,1515.384,42.48047,32.00752067565918,2023-12-12 10:18:49.761799,32.128906,21.191406
253,2521,981867.0,1515.384,42.578125,32.14324879646301,2023-12-12 10:19:22.205719,32.03125,20.996094
254,2531,982242.56,1515.384,42.578125,32.01141095161438,2023-12-12 10:19:54.532529,32.03125,20.800781
255,2541,982339.8,1515.384,42.578125,32.0311017036438,2023-12-12 10:20:26.866161,32.03125,20.800781
256,2551,982499.8,1515.384,42.578125,32.06267547607422,2023-12-12 10:20:59.226854,32.32422,20.703125
257,2561,982635.06,1515.384,42.578125,32.185049295425415,2023-12-12 10:21:31.710962,32.421875,20.703125
258,2571,982926.75,1515.384,42.578125,31.956605195999146,2023-12-12 10:22:03.968667,32.617188,20.605469
259,2581,983058.2,1515.384,42.578125,32.36767101287842,2023-12-12 10:22:36.634829,32.617188,20.507812
260,2591,984752.6,1515.384,42.67578,32.04104208946228,2023-12-12 10:23:08.977051,32.51953,20.898438
261,2601,984773.1,1515.384,42.67578,32.13224911689758,2023-12-12 10:23:41.409752,32.617188,20.898438
262,2611,984926.9,1515.384,42.67578,31.99746561050415,2023-12-12 10:24:13.723674,32.617188,20.996094
263,2621,984968.25,1515.384,42.67578,32.0021550655365,2023-12-12 10:24:46.028885,32.617188,20.898438
264,2631,985314.7,1515.384,42.67578,31.879181385040283,2023-12-12 10:25:18.208776,32.8125,20.898438
265,2641,985581.2,1515.384,42.67578,32.19131875038147,2023-12-12 10:25:50.704728,33.007812,20.996094
266,2651,985736.8,1515.384,42.67578,31.868717908859253,2023-12-12 10:26:22.872322,32.910156,21.09375
267,2661,985935.1,1515.384,42.67578,32.293107986450195,2023-12-12 10:26:55.465321,32.910156,20.996094
268,2671,985935.1,1515.384,42.67578,32.00498962402344,2023-12-12 10:27:27.772625,32.910156,20.996094
269,2681,986107.75,1515.384,42.67578,32.232293128967285,2023-12-12 10:28:00.305111,32.910156,21.09375
270,2691,986163.5,1515.384,42.67578,32.22175621986389,2023-12-12 10:28:32.840589,32.910156,21.09375
271,2701,986509.75,1515.384,42.67578,32.272018909454346,2023-12-12 10:29:05.416335,32.8125,21.191406
272,2711,988820.25,1515.384,42.773438,32.034425020217896,2023-12-12 10:29:37.750247,32.8125,21.289062
273,2721,989625.6,1515.384,42.773438,32.2722806930542,2023-12-12 10:30:10.325317,32.714844,21.386719
274,2731,989871.4,1515.384,42.773438,32.30281376838684,2023-12-12 10:30:42.942814,32.714844,21.289062
275,2741,989921.9,1515.384,42.773438,32.09984230995178,2023-12-12 10:31:15.342916,32.8125,21.289062
276,2751,991261.4,1515.384,42.773438,32.135823011398315,2023-12-12 10:31:47.781211,32.910156,21.289062
277,2761,991279.56,1515.384,42.773438,32.041616916656494,2023-12-12 10:32:20.126013,32.910156,21.289062
278,2771,991604.5,1515.384,42.773438,31.80288600921631,2023-12-12 10:32:52.232021,32.714844,21.386719
279,2781,992250.7,1515.384,42.773438,32.25284814834595,2023-12-12 10:33:24.789064,32.617188,21.484375
280,2791,992346.9,1515.384,42.773438,32.24257445335388,2023-12-12 10:33:57.333855,32.617188,21.582031
281,2801,992511.75,1515.384,42.773438,31.790093898773193,2023-12-12 10:34:29.426302,32.51953,21.582031
282,2811,993016.94,1515.384,42.773438,32.035908699035645,2023-12-12 10:35:01.762268,32.421875,21.289062
283,2821,994670.44,1515.384,42.871094,31.563329696655273,2023-12-12 10:35:33.631873,32.617188,21.289062
284,2831,994809.0,1515.384,42.871094,32.07205414772034,2023-12-12 10:36:06.004234,32.714844,21.386719
285,2841,995186.6,1515.384,42.871094,31.913887977600098,2023-12-12 10:36:38.222152,32.8125,21.484375
286,2851,995314.5,1515.384,42.871094,32.15198802947998,2023-12-12 10:37:10.675856,32.910156,21.484375
287,2861,995859.25,1515.384,42.871094,31.957870721817017,2023-12-12 10:37:42.949184,33.007812,21.484375
288,2871,995859.25,1515.384,42.871094,32.0791015625,2023-12-12 10:38:15.331970,33.007812,21.484375
289,2881,995859.25,1515.384,42.871094,32.387155532836914,2023-12-12 10:38:48.019980,33.007812,21.484375
290,2891,997989.6,1515.384,42.96875,32.19514036178589,2023-12-12 10:39:20.515969,33.007812,21.484375
291,2901,998287.2,1515.384,42.96875,32.31861686706543,2023-12-12 10:39:53.135479,33.007812,21.582031
292,2911,998313.1,1515.384,42.96875,31.916653156280518,2023-12-12 10:40:25.349870,33.10547,21.777344
293,2921,998584.44,1515.384,42.96875,31.66721796989441,2023-12-12 10:40:57.315765,33.203125,21.679688
294,2931,998767.1,1515.384,42.96875,32.096590757369995,2023-12-12 10:41:29.711261,33.10547,21.582031
295,2941,998970.6,1515.384,42.96875,31.969833850860596,2023-12-12 10:42:01.982868,33.203125,21.191406
296,2951,999465.6,1515.384,42.96875,32.01139569282532,2023-12-12 10:42:34.297340,33.203125,21.289062
297,2961,1001177.1,1515.384,43.066406,32.035889863967896,2023-12-12 10:43:06.635565,33.398438,21.386719
298,2971,1001260.3,1515.384,43.066406,32.02954936027527,2023-12-12 10:43:38.964154,33.398438,21.386719
299,2981,1001788.75,1515.384,43.066406,32.01212215423584,2023-12-12 10:44:11.278243,33.59375,21.289062
300,2991,1001892.8,1515.384,43.066406,31.78252124786377,2023-12-12 10:44:43.361078,33.398438,21.191406
301,3001,1002134.56,1515.384,43.066406,31.972246885299683,2023-12-12 10:45:15.638585,33.496094,21.386719
302,3011,1003741.5,1515.384,43.164062,31.761391401290894,2023-12-12 10:45:47.700976,33.398438,21.386719
303,3021,1004184.1,1515.384,43.164062,32.186487436294556,2023-12-12 10:46:20.190985,33.30078,21.386719
304,3031,1004400.9,1515.384,43.164062,32.11890006065369,2023-12-12 10:46:52.623085,33.398438,21.386719
305,3041,1004634.3,1515.384,43.164062,32.18777680397034,2023-12-12 10:47:25.110170,33.30078,21.582031
306,3051,1006495.56,1515.384,43.26172,31.954201698303223,2023-12-12 10:47:57.364669,33.496094,21.582031
307,3061,1008973.0,1515.384,43.359375,32.10697388648987,2023-12-12 10:48:29.772547,33.496094,21.875
308,3071,1009132.94,1515.384,43.359375,31.857125997543335,2023-12-12 10:49:01.927675,33.398438,21.777344
309,3081,1009184.4,1515.384,43.359375,32.06106424331665,2023-12-12 10:49:34.291786,33.496094,21.777344
310,3091,1010950.8,1515.384,43.45703,32.23077583312988,2023-12-12 10:50:06.825185,33.496094,21.875
311,3101,1011310.5,1515.384,43.45703,32.285330057144165,2023-12-12 10:50:39.413932,33.398438,21.777344
312,3111,1013151.9,1515.384,43.554688,32.09096145629883,2023-12-12 10:51:11.807859,33.398438,21.679688
313,3121,1013151.9,1515.384,43.554688,31.831735610961914,2023-12-12 10:51:43.940358,33.398438,21.679688
314,3131,1017224.2,1515.384,43.75,32.358641624450684,2023-12-12 10:52:16.615960,33.398438,21.679688
315,3141,1017359.94,1515.384,43.75,32.01087522506714,2023-12-12 10:52:48.928426,33.59375,21.582031
316,3151,1017955.75,1515.384,43.75,32.439674377441406,2023-12-12 10:53:21.669249,33.496094,21.679688
317,3161,1019618.06,1515.384,43.847656,32.245617628097534,2023-12-12 10:53:54.215803,33.398438,21.875
318,3171,1019746.94,1515.384,43.847656,32.21285319328308,2023-12-12 10:54:26.729649,33.398438,21.972656
319,3181,1019957.44,1515.384,43.847656,32.05241870880127,2023-12-12 10:54:59.093222,33.30078,21.972656
320,3191,1019998.94,1515.384,43.847656,31.869179248809814,2023-12-12 10:55:31.262003,33.203125,21.875
321,3201,1021891.6,1515.384,43.945312,31.814440488815308,2023-12-12 10:56:03.379348,33.30078,21.875
322,3211,1022164.9,1515.384,43.945312,32.11451292037964,2023-12-12 10:56:35.795196,33.496094,21.875
323,3221,1022407.2,1515.384,43.945312,32.12682604789734,2023-12-12 10:57:08.224961,33.496094,21.875
